Name;Hidden containers;Pre-boot authentication;Single sign-on;Custom authentication;Multiple keys;Passphrase strengthening;Hardware acceleration;TPM;Filesystems;Two-factor authentication;
Aloaha Secure Stick;{{yes}};{{no}};{{n/a}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes|NTFS, FAT32}};{{yes}};
ArchiCrypt Live;{{yes}}[61];{{no}};{{n/a}};{{no}};{{yes}}[61][62];{{no}};{{no}};{{no}};{{dunno}};{{yes}}[61][63];
BestCrypt;{{yes}};{{yes}};{{dunno}};{{no}};{{yes}}[64];{{yes}};{{yes}};{{yes}};{{yes|Any supported by OS}};{{yes}}[65];
BitArmor DataControl;{{no}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes|NTFS, FAT32 on non-system volumes}};{{no}};
BitLocker;{{no}};{{yes}}[66];{{no}};{{yes}}[67];{{yes}}[68];{{yes}}[69];{{yes}};{{yes}}[68];{{yes|Chiefly NTFS}} {{r|group=Note|BitLockerFS}};{{yes}} {{r|group=Note|BitLocker2F}};
Bloombase Keyparc;{{no}};{{no}};{{n/a}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{dunno}};
CGD;{{no}};{{no}};{{n/a}};{{yes}}[70];{{yes}}[71];{{yes}}[70];{{no}};{{no}};{{yes|Any supported by OS}};{{yes}}[70];
CenterTools DriveLock;{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes|Any supported by OS}};{{yes}};
Check Point Full Disk Encryption;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|NTFS, FAT32}};{{yes}};
CipherShed;{{yes}} (limited to one per "outer" container);{{partial|only on Windows}}[72];{{dunno}};{{no}};{{yes|yes with multiple keyfiles}}[73][74];{{yes}};{{yes}};{{no}}[75];{{yes|Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged[76] }};{{yes}};
CryFS;{{no}};{{no}};{{n/a}};{{no}};{{no}};{{yes}}[77];{{no}};{{no}};{{yes|Any supported by OS}};{{no}};
CrossCrypt;{{no}};{{no}};{{n/a}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{no}};
CryptArchiver;{{no}};{{no}};{{n/a}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};
Cryhod;{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes|Any supported by OS}};{{no}};
Cryptoloop;{{no}};{{yes}}[78];{{dunno}};{{yes}};{{no}};{{no}};{{yes}}{{Citation needed|date=January 2008}};{{no}};{{yes|Any supported by OS}};{{dunno}};
Cryptomator;{{no}};{{no}};{{n/a}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes|Any supported by OS}};{{no}};
CryptoPro Secure Disk Enterprise;{{yes|Yes with add-on Secure Device}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Any supported by OS}};{{yes}};
CryptoPro Secure Disk for BitLocker;{{yes|Yes with add-on Secure Device}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Any supported by OS}};{{yes}};
Cryptsetup / Dmsetup;{{no}};{{yes}}[78];{{dunno}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes|Any supported by OS}};{{yes}};
DiskCryptor;{{no}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{yes}}[79];{{no}};{{yes|Only Windows MBR volumes; no UEFI GPT drives}};{{yes}}[79];
DISK Protect;{{no}};{{yes}}[80];{{yes}};{{no}};{{yes}}[80];{{no}};{{yes}};{{yes}};{{yes |NTFS,FAT32}};{{yes}};
Dm-crypt / LUKS;{{no}};{{yes}}[78];{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial|Partial}}[81] {{r|group=Note|dm-cryptTPM}};{{yes|Any supported by OS}};{{yes}};
DriveCrypt;{{yes}}[82];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes|Any supported by OS}};{{yes}};
DriveSentry GoAnywhere 2;{{no}};{{no}};{{n/a}};{{yes}};{{no}};{{yes}};{{no}};{{dunno}};{{yes|Any supported by OS}};{{yes}};
E4M;{{No}};{{No}};{{n/a}};{{No}};{{No}};{{dunno}};{{No}};{{no}};{{dunno}};{{no}};
e-Capsule Private Safe;{{yes}}[83];{{no}};{{n/a}};{{no}};{{yes}}[83];{{no}};{{yes}};{{no}};{{dunno}};{{dunno}};
eCryptfs;{{no}};{{no}};{{n/a}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[84];{{yes}};
EgoSecure HDD Encryption;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[85];{{yes}};{{yes|NTFS, FAT32}};{{yes}};
FileVault;{{no}};{{no}};{{n/a}};{{no}};{{partial|Two passwords}}[86];{{yes}}[86];?;{{no}};{{yes|HFS+, possibly others}};{{no}};
FileVault 2;{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}}[87];{{no}};{{yes|HFS+, possibly others}};{{no}};
FinalCrypt;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes|Any supported by OS}};{{no}};
FREE CompuSec;{{no}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|Any supported by OS}};{{no}};
FreeOTFE;{{yes}};{{no}};{{n/a}};{{yes}}[88];{{yes}}[89];{{yes}};{{yes}};{{no}};{{yes|Any supported by OS}};{{yes}};
GBDE;{{no}};{{no}}[90];{{n/a}};{{yes}};{{yes}}[91];{{no}}[91];{{no}}[90];{{no}};{{yes|Any supported by OS}};{{yes}};
GELI;{{no}};{{yes}}[90];{{dunno}};{{yes}};{{yes}}[92];{{yes}}[92];{{yes}}[90];{{no}};{{yes|Any supported by OS}};{{yes}};
Loop-AES;{{no}};{{yes}}[93];{{dunno}};{{yes}}[93];{{yes}}[93];{{yes}}[93];{{yes}}[93];{{no}};{{yes|Any supported by OS}};{{yes}}[94];
McAfee Drive Encryption (SafeBoot);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[85][95];{{yes}};{{yes|Any supported by OS}};{{yes}};
