Software;Microsoft Windows;Darwin/ OS X;Linux;IBM;HP-UX;illumos/ Solaris <!-- rowspan="2" | Android;iOS-->;
2000;XP;Vista;2003 Server;2008 R2 Server;2008 Server;2012 Server;7 – 64 bit;8 – 64 bit;Red Hat;SUSE;Ubuntu;CentOS;AIX;OS/390;i5/OS;z/OS;
AdroitLogic UltraESB;{{yes}}[14];{{yes}}[15];{{yes}}[16];{{yes}}[17];{{yes}}[18];{{yes}}[19];{{yes}}[20];{{yes}}[21];{{yes}}[22];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};
Anypoint Platform;{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{yes}};{{yes}};{{Yes}};{{Yes}};{{yes}};{{No}};{{No}};{{No}};{{Yes}};{{yes}};
Artix ESB;{{yes|with SP3, SP4}};{{yes|with SP1, SP2}};;{{yes}};;;;;;{{no}};{{yes}};{{yes}};;;{{yes}};;{{no}};{{yes}};{{yes}};{{yes}};
Automation Anywhere Integration Pack;{{yes}};{{yes}};{{yes}};{{yes}};;;;;;{{no}};{{no}};{{no}};;;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
BizTalk Server;{{yes}}[23];{{yes}}[24];{{yes}}[25];{{yes}}[26];{{yes}}[27];{{yes}}[28];{{yes}}[29];{{yes}}[30];{{yes}}[31];{{no}};{{no}};{{no}};;;{{no}};;{{no}};{{no}};{{no}};{{no}};
Flow Software;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{no}};{{no}};{{no}};;;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
IBM Integration Bus [32];{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};
JBoss Enterprise Service Bus (ESB);{{yes}};{{yes}};{{yes}};{{yes}};;;;;;{{yes}};{{yes}};{{yes}};;;{{yes}};;;;{{yes}};{{yes}};
JBoss Enterprise SOA Platform;{{yes}};{{yes}};{{yes}};{{yes}};;;;;;{{yes}};{{yes}};{{yes}};;;{{yes}};;;;{{yes}};{{yes}};
Informatica Power Center;{{yes}};{{yes}};{{yes}};{{yes}};;;;;;;{{yes}};{{yes}};;;{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};
Openadaptor;{{yes}};{{yes}};;{{yes}};;;;;;{{yes}};{{yes}};{{yes}};;;{{yes}};;;;{{yes}};{{yes}};
OpenESB;{{yes}};{{yes}};;{{yes}};;;;;;{{yes}};{{yes}};{{yes}};;;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
OpenLink Virtuoso;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
Oracle BPEL Process Manager;{{yes}};{{yes}};;{{yes}};{{yes}};;{{yes}};{{yes}};;;{{yes}};{{yes}};;;{{yes|5L}};;{{no}};{{no}};{{yes}};{{yes}};
Oracle Enterprise Service Bus;{{yes}};{{yes}};;{{yes}};{{yes}};;{{yes}};{{yes}};;;{{yes}};{{yes}};;;{{yes}};;{{no}};{{no}};{{yes}};{{yes}};
PEtALS ESB;{{yes}};{{yes}};;{{yes}};;;;;;{{yes}};{{yes}};{{yes}};;;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
SAP Exchange Infrastructure;{{yes}};{{yes}};{{yes}};{{yes}};;;;;;{{yes}};{{yes}};{{yes}};;;{{yes}};{{no}};{{yes}}[33];{{yes}};{{yes}};{{yes}};
ServiceMix;{{yes}};{{yes|with SP2}};{{yes}};{{yes}};;;;;;{{yes}};{{yes}};{{yes}};;;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
Sonic ESB;{{yes}};{{yes}};{{yes}};{{yes}};;;;;;;{{yes}};{{yes}};;;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}}[34];
Spagic;{{yes}};{{yes}};;{{yes}};;;;;;{{yes}};{{yes}};{{yes}};;;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
Sun Java Composite Application Platform Suite;{{yes}};{{yes}}[35];;{{yes}};;;;;;;{{yes}};{{yes}};;;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
TrackerSuite.Net;{{no}};{{yes|with SP2}};{{yes}};{{yes}};;;;;;;;;;;;;;;;;
Unify NXJ;{{yes|with SP4}};{{yes|with SP1}};;{{yes}};;;;;;{{no}};{{yes}};{{yes}};;;{{yes|5.3}};;{{no}};{{no}};{{yes}};{{yes}};
WSO2 Enterprise Service Bus (ESB);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;;;{{yes}};
