Birth control method;Brand/common name;Typical-use failure rate (%);Perfect-use failure rate (%);Type;Implementation;User action required;
Contraceptive implant;Implanon,[16] Jadelle,[17] the implant;{{sort|000.05|0.05}} (1 of 2000);{{sort|000.05|0.05}};Progestogen;Subdermal implant;{{sort | 03.000 | 3-5 years}};
Vasectomy[16];male sterilization;{{sort|000.15|0.15}} (1 of 666);{{sort|000.10|0.1}};Sterilization;Surgical procedure;{{sort | 98.000 | Once}};
Combined injectable[18];Lunelle, Cyclofem;{{sort|000.20|0.2}} (1 of 500);{{sort|000.20|0.2}};Estrogen + progestogen;Injection;{{sort | 00.100 | Monthly}};
IUD with progestogen[16];Mirena, Skyla, Liletta;{{sort|000.20|0.2}} (1 of 500);{{sort|000.20|0.2}};Intrauterine & progestogen;Intrauterine;{{sort | 05.000 | 3-7 years}};
Essure[19];female sterilization;{{sort|000.26|0.26}} (1 of 384);{{sort|000.26|0.26}};Sterilization;Surgical procedure;{{sort | 98.000 | Once}};
Tubal ligation[16];female sterilization;{{sort|000.50|0.5}} (1 of 200);{{sort|000.50|0.5}};Sterilization;Surgical procedure;{{sort | 98.000 | Once}};
IUD with copper[16];Paragard, Copper T, the coil;{{sort|000.80|0.8}} (1 of 125);{{sort|000.60|0.6}};Intrauterine & copper;Intrauterine;{{sort | 05.100 | 3 to 12+ years}};
Forschungsgruppe NFP symptothermal method, teaching sessions + application[16][20];Sensiplan by Arbeitsgruppe NFP (Malteser Germany gGmbh);{{sort|001.80|1.8}} (1 of 55);{{sort|000.40|0.4}};Behavioral;Teaching sessions, observation, charting and evaluating a combination of fertility symptoms;{{sort | 00.006 | Three teaching sessions + daily application}};
LAM for 6 months only; not applicable if menstruation resumes[21][22];ecological breastfeeding;{{sort|002.00|2}} (1 of 50);{{sort|000.50|0.5}};Behavioral;Breastfeeding;{{sort | 00.004 | Every few hours}};
{{color|gray|2002[23] cervical cap and spermicide (discontinued in 2008) used by nulliparous}}[24][24][25];Lea's Shield;{{sort|005.00|5}} (1 of 20);{{sort|100.00|no data}};Barrier + spermicide;Vaginal insertion;{{sort | 00.030 | Every act of intercourse}};
MPA shot[16];Depo Provera, the shot;{{sort|006.00|6}} (1 of 17);{{sort|000.20|0.2}};Progestogen;Injection;{{sort | 00.300 | 12 weeks}};
{{color|gray|Testosterone injection for male (unapproved, experimental method)}}[26];Testosterone Undecanoate;{{sort|006.10|6.1}} (1 of 16);{{sort|001.10|1.1}};Testosterone;Intramuscular Injection;{{sort | 00.030 | Every 4 weeks}};
1999 cervical cap and spermicide (replaced by second generation in 2003)[27];FemCap;{{sort|007.60|7.6}}{{Failed verification|date=December 2017}} (estimated) (1 of 13);no data;Barrier & spermicide;Vaginal insertion;{{sort | 00.030 | Every act of intercourse}};
Contraceptive patch[16];Ortho Evra, the patch;{{sort|009.00|9}} (1 of 12);{{sort|000.30|0.3}};Estrogen & progestogen;Transdermal patch;{{sort | 00.070 | Weekly}};
Combined oral contraceptive pill[16];the Pill;{{sort|009.00|9}} (1 of 11)[28];{{sort|000.30|0.3}};Estrogen & progestogen + Placebo[29];Oral medication;{{sort | 00.010 | Daily}};
Ethinylestradiol/etonogestrel vaginal ring[16];NuvaRing, the ring;{{sort|009.00|9}} (1 of 11);{{sort|000.30|0.3}};Estrogen & progestogen;Vaginal insertion;{{sort | 00.099 | In place 3 weeks / 1 week break}};
Progestogen only pill[16];POP, minipill;{{sort|009.00|9}}[28];{{sort|000.30|0.3}};Progestogen[29];Oral medication;{{sort | 00.010 | Daily}};
Ormeloxifene[30];Saheli, Centron;{{sort|009.00|9}};{{sort|002.00|2}};SERM;Oral medication;{{sort | 00.070 | Weekly}};
Emergency contraception pill;Plan B One-Step®;{{sort|100.00|no data}};{{sort|100.00|no data}};Levonorgestrel;Oral medication;{{sort | 00.030 | Every act of intercourse}};
Standard Days Method[16];CycleBeads, iCycleBeads;{{sort|012.00|12}} (1 of 8.3);{{sort|005.00|5}};Behavioral;Counting days since menstruation;{{sort | 00.010 | Daily}};
Diaphragm and spermicide[16];;{{sort|012.00|12}} (1 of 6);{{sort|006.00|6}};Barrier & spermicide;Vaginal insertion;{{sort | 00.030 | Every act of intercourse}};
Plastic contraceptive sponge with spermicide used by nulliparous[16][25];Today sponge, the sponge;{{sort|012.00|12}};{{sort|009.00|9}};Barrier & spermicide;Vaginal insertion;{{sort | 00.030 | Every act of intercourse}};
