Format;Filename extension;DRM support;Image support;Table support;Sound support;Interactivity support;Word wrap support;Open standard;Embedded annotation support;Book- marking;Video support;
Comic Book Archive;.cbr, .cbz, .cb7, .cbt, .cba;?;{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};
DjVu;.djvu;?;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};
DOC;.doc;?;{{yes}};{{yes}};{{yes}};?;{{yes}};{{no}};?;?;{{yes}};
DOCX;.docx;?;{{yes}};{{yes}};{{yes}};?;{{yes}};{{yes}};{{yes}};?;{{yes}};
EPUB (IDPF);.epub;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes-no}}[33];{{yes-no}}[33];{{yes}}[34];
FictionBook;.fb2;{{no}};{{yes}};{{yes-no}}[35];{{no}};{{no}};{{yes}};{{yes}};{{yes}};?;?;
HTML;.html;{{no}};{{yes}};{{yes}};{{yes}}[36];{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}}[36];
iBooks;.ibook;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
INF;.inf;{{no}};{{yes}};{{yes}};{{no}};?;{{yes}};{{yes}};{{yes-no}}[33];{{yes-no}}[33];{{no}};
Kindle;.azw;{{yes}};{{yes}};{{yes}}[37][38];{{yes}}[39][40];{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}}[39][40];
Microsoft Reader;.lit;{{yes}};{{yes}};?;{{no}};{{no}};{{yes}};{{no}};?;{{yes}};?;
Mobipocket;.prc, .mobi;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};?;
Multimedia EBook;.exe;{{yes}};{{yes}};?;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};?;
Newton Book;.pkg;{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
eReader;.pdb;{{yes}};{{yes}};?;{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};?;
Plain text;.txt;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Plucker;.pdb;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};?;
Portable Document Format;.pdf;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes-no}}[41][42];{{yes}};{{yes}};{{yes}};{{yes}}[43];
PostScript;.ps;{{no}};{{yes}};?;{{no}};{{no}};{{no}};{{yes}};?;?;?;
Tome Raider;.tr2, .tr3;{{yes}};{{yes}};?;{{no}};{{no}};{{yes}};{{no}};?;?;?;
OpenXPS;.oxps, .xps;?;{{yes}};{{yes}};?;{{no}};{{no}};{{yes}};?;?;?;
