Mail server;SMTP AUTH;POP before SMTP;APOP;Filesystem;Database;LDAP;Other;
agorum core;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};PLAIN, LOGIN, CRAM-MD5, NTLM;
Apache James;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};PLAIN, LOGIN;
Axigen;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};GSSAPI, CRAM-MD5, DIGEST-MD5, APOP, CLRTXT, LOGIN, PLAIN, LDAP, Internal;
CommuniGate Pro;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Active Directory (LDAP), CLRTXT, CRAM-MD5, DIGEST-MD5, APOP, GSSAPI, NTLM, MSN, SESSIONID, External Authentication Plug-in. Also supports X.509 PKI auth via STARTTLS/SSL;
Courier Mail Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Managed by Courier authentication library which can use PAM, Userdb, PostgreSQL(beta), MySQL, LDAP, and EXTERNAL.;
Cyrus IMAP;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Supports X.509 PKI auth via STARTTLS and EXTERNAL. Uses Cyrus SASL authentication library for support for other mechanisms: Berkeley DB, GDBM, or NDBM (sasldb), PAM, MySQL, PostgreSQL, SQLite, LDAP, Active Directory(LDAP), DCE, Kerberos 4 and 5, proxied IMAP auth, getpwent, shadow, SIA, Courier Authdaemon, httpform, APOP and SASL mechanisms: ANONYMOUS, CRAM-MD5, DIGEST-MD5, EXTERNAL, GSSAPI, LOGIN, NTLM, OTP, PASSDSS, PLAIN, SRP;
Dovecot;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Not an SMTP server, but offers SASL to MTAs.[23][24] POP-before-SMTP via DRAC plugin. PAM, MySQL, PostgreSQL, SQLite, LDAP, Active Directory(LDAP), Kerberos 5, proxied IMAP auth, getpwent, shadow, SIA, BSDauth, Vpopmail. APOP and SASL mechanisms: ANONYMOUS, PLAIN, LOGIN, CRAM-MD5, DIGEST-MD5, SCRAM-SHA1, EXTERNAL, GSSAPI, NTLM, OTP, SKEY, RPA.;
Eudora Internet Mail Server;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};CRAM-MD5, DIGEST-MD5, PLAIN, LOGIN;
Exim;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Cyrus SASL, Dovecot SASL, GNU SASL, CRAM-MD5, Heimdal GSSAPI, PLAIN, LOGIN, SPA;
FirstClass;{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};;
Gordano Messaging Suite;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};PLAIN, LOGIN, CRAM-MD5, DIGEST-MD5, APOP, ODBC, Active Directory, NT Domain;
GroupWise;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};eDirectory, Any LDAPv3-compliant source;
Halon;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};Many mechanism (SMTP callout, Dovecot SASL, REST, etc.) via script.[25];
Haraka;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};Proxy to other server, any other mechanism via AUTH plugins.;
IceWarp Mail Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};PLAIN, LOGIN, CRAM-MD5, NTLM;
Ipswitch IMail Server;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};Active Directory, Windows authentication, CRAM-MD5, PLAIN, LOGIN;
Kolab;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Kolab employs Cyrus and Postfix and thus supports all Cyrus SASL authentication methods and X.509 PKI auth via STARTTLS and EXTERNAL.;
Mailsite;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};NT Domain, Active Directory, PLAIN, LOGIN, NTLM, SCRAM-MD5, CRAM-MD5;
Mailtraq;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};NT Domain, Active Directory, Local Directory;
Mercury Mail Transport System;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};Internal, LOGIN, PLAIN, CRAM-MD5, Netware, LDAP?, partial NT Domain;
Microsoft Exchange Server;{{yes}};{{dunno}};{{yes}};{{no}};{{no}};{{yes}};Active Directory, LOGIN,[26] NTLM;
NetMail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};eDirectory, LDAP;
Oracle Communications Messaging Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Plain, Login, CRAM-MD5, Digest-MD5, Certificate;
OpenSMTPD;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};By default PLAIN and LOGIN over SSL only, Certificates, bsd_auth and PAM. Supports adding new authentication mechanisms through custom backends.;
Postfix;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};Supports all Cyrus SASL authentication methods except for APOP.;
Qpopper;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Pluggable Authentication Modules, GSSAPI, CRAM-MD5, DIGEST-MD5, APOP, PLAIN, LDAP, CMU SASL library, Kerberos;
qmail;{{yes|with patch}};{{yes|with vpopmail}};{{yes}};{{yes}};{{yes}};{{yes}};Works with any checkpassword utility. The original supports only LOGIN and PLAIN. Alternate checkpassword utilities support authentication against PAM, LDAP, and databases.;
