Language;Intended use;Imperative;Object-oriented;Functional;Procedural;Generic;Reflective;Event-driven;Other paradigm(s);Standardized?;
ActionScript 3.0;Application, client-side, web;{{Yes}};{{Yes}};{{Yes}};;;;{{Yes}};;{{yes|1996}}, ECMA;
Ada;Application, embedded, realtime, system;{{Yes}};{{Yes}}[2];;{{Yes}}[3];{{Yes}}[4];;;concurrent,[5] distributed,[6];{{yes|1983}}, 2005, 2012, ANSI, ISO, GOST 27831-88[7];
Aldor;Highly domain-specific, symbolic computing;{{Yes}};{{Yes}};{{Yes}};;;;;;{{no}};
ALGOL 58;Application;{{Yes}};;;;;;;;{{no}};
ALGOL 60;Application;{{Yes}};;;;;;;;{{yes|1960}}, IFIP WG 2.1, ISO[8];
ALGOL 68;Application;{{Yes}};;;;;;;concurrent;{{yes|1968}}, IFIP WG 2.1, GOST 27974-88,[9];
Ateji PX;Parallel application;;{{Yes}};;;;;;pi calculus;{{no}};
APL;Application, data processing;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};array-oriented, tacit;{{yes|1989}}, ISO;
Assembly language;General;{{Yes}};;;;;;;any, syntax is usually highly specific, related to the target processor;{{no}};
AutoHotkey;GUI automation (macros), highly domain-specific;{{Yes}};{{Yes}}[10];;{{Yes}};;;{{Yes}};;{{no}};
AutoIt;GUI automation (macros), highly domain-specific;{{Yes}};;;{{Yes}};;;{{Yes}};;{{no}};
Bash;Shell, scripting;{{Yes}};;;{{Yes}};;;;;;
Ballerina;Integration, agile, server-side, general;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;;{{Yes}};concurrent, transactional, statically and strongly typed programming, diagrammatic / visual programming;{{Yes|2018}} De facto standard via Ballerina Language Specification[11];
BASIC;Application, education;{{Yes}};;;{{Yes}};;;;;{{yes|1983}}, ANSI, ISO, ECMA;
BBj;Application, business, web;;{{Yes}};;{{Yes}};;;;;{{no}};
BeanShell;Application, scripting;{{Yes}};{{Yes}};{{Yes}};;;{{Yes}};;;{{no|In progress}}, JCP[12];
BitC;System;{{Yes}};;{{Yes}};;;;;;{{no}};
BLISS;System;;;;{{Yes}};;;;;{{no}};
BlitzMax;Application, game;{{Yes}};{{Yes}};;{{Yes}};;{{Yes}};;;{{no}};
Blue;Education;{{Yes}};{{Yes}};;;{{Yes}};;;;{{no}};
Boo;Application;;;;;;;;;{{no}};
Bro;domain-specific, application;{{Yes}};;;;;;{{Yes}};;{{no}};
C;Application, system,[13] general purpose, low-level operations;{{Yes}};;;{{Yes}};{{Yes}};;;;{{yes|1989}}, ANSI C89, ISO C90, ISO C99, ISO C11[14];
C++;Application, system;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;;;{{yes|1998}}, ISO/IEC 1998, ISO/IEC 2003, ISO/IEC 2011,ISO/IEC 2014[15];
C#;Application, RAD, business, client-side, general, server-side, web;{{Yes}};{{Yes}};{{Yes}}[16];{{Yes}};{{Yes}};{{Yes}};{{Yes}};structured, concurrent;{{yes|2000}}, ECMA, ISO[17];
Clarion;General, business, web;{{Yes}};{{Yes}};{{Yes}}[18];;;;;;{{unknown}};
Clean;General;;;{{Yes}};;{{Yes}};;;;{{no}};
Clojure;General;;;{{Yes}};;;;;concurrent;{{no}};
CLU;General;{{Yes}};{{Yes}};;{{Yes}};{{Yes}};;;;{{no}};
COBOL;Application, business;{{Yes}};{{Yes}};;{{Yes}};;;;;{{yes|ANSI X3.23 1968, 1974, 1985; ISO/IEC 1989:1985, 2002, 2014}};
Cobra;Application, business, general, web;{{Yes}};{{Yes}};{{Yes}};;{{Yes}};{{Yes}};;;{{no}};
ColdFusion (CFML);Web;;{{Yes}};;{{Yes}};;;;;{{no}};
Common Lisp;General;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};extensible syntax, Array-oriented, syntactic macros, multiple dispatch, concurrent;{{yes|1994}}, ANSI;
COMAL 80;Education;{{Yes}};;;{{Yes}};;;;;{{no}};
Crystal;General purpose;{{Yes}};{{Yes}}[19];{{Yes}};{{Yes}};;;;alpha stage[20];{{no}};
Cython;Application, general, numerical computing;{{Yes}};{{Yes}};{{Yes}};;;{{Yes}};;aspect-oriented;{{no}};
D;Application, system;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;generative, concurrent;{{no}};
Dart;Application, web, server-side, mobile, IoT;{{Yes}};{{Yes}};{{Yes}};;;;;structured;{{yes|Ecma-408 standard}};
Dylan;Application;;{{Yes}};{{Yes}};;;;;;{{no}};
Eiffel;General, application, business, client-side, server-side, web (EWF);{{Yes}};{{Yes}};{{Yes}}[21][22];;{{Yes}};{{Yes}} Erl-G;{{Yes}} Agents;distributed SCOOP, Void-safe;{{yes|2005}}, ECMA, ISO[23];
Elixir;Application, distributed;;;{{Yes}};;;;{{Yes}};concurrent, distributed;{{no}};
Erlang;Application, distributed;;;{{Yes}};;;;{{Yes}};concurrent, distributed;{{no}};
Euphoria;Application;;;;{{Yes}};;{{Yes}};;;{{no}};
Factor;General;{{Yes}};;can be viewed as;;{{Yes}};{{Yes}};;stack-oriented;{{no}};
FP;;;;{{Yes}};;;;;;{{no}};
F#;Application;{{Yes}};{{Yes}};{{Yes}};;{{Yes}};;;;{{no}};
Forth;General;{{Yes}};;can be viewed as;;;;;stack-oriented;{{yes|1994}}, ANSI;
Fortran;Application, numerical computing;{{Yes}};{{Yes}};;{{Yes}};{{Yes}};;;;{{yes|1966}}, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008);
FreeBASIC;Application, numerical computing;{{Yes}};{{Yes}};;{{Yes}};{{Yes}};;;;{{no}};
G2;Application, inference, expert system;{{Yes}};{{Yes}};;;;;{{Yes}};common graphical development and runtime environment;{{no}};
Gambas;Application;{{Yes}};{{Yes}};;;;;{{Yes}};;{{no}};
Game Maker Language;Application, games;{{Yes}};{{Yes}};;;;;{{Yes}};;{{no}};
