;current object;current object's parent object;null reference;Current Context of Execution;
Smalltalk;self;super;nil;thisContext;
ABAP Objects;me;super;initial;;
C++ (STL);*this;[39];NULL, nullptr;;
C#;this;base[40];null;;
Java;super[40];;
D;;
JavaScript;super[40] (ECMAScript 6);null, undefined[41];;
eC;this;;null;;
Objective-C;self;super[40];nil;;
Swift;self;super[40];nil[42];;
Python;self[43];super(current_class_name, self)[5] super() (3.x only);None;;
Visual Basic .NET;Me;MyBase;Nothing;;
Xojo;Me / Self;Parent;Nil;;
Eiffel;Current;Precursor «{superclass}» «(args)»[40][44];Void;;
PHP;$this;parent[40];null;;
Perl;$self[43];$self->SUPER[40];undef;;
Perl 6;self;SUPER;Nil;;
Ruby;self;super«(args)»[45];nil;binding;
Windows PowerShell;$this;;$NULL;;
OCaml;self[46];super[47];{{n/a}}[48];;
F#;this;base[40];null;;
COBOL;SELF;SUPER;NULL;;
Cobra;this;base;nil;;
