Research Networking Tool;Interoperability with Institutional Enterprise Systems;Interoperability with External Systems;Integration with Add-on Components or Products;Regional, National, International or Federated Connectivity?;
Academic Room;{{no}};unknown;unknown;The system is voluntary, so national and international by active inclusion;
Activity Insight;{{yes}} (Banner, Datatel, PeopleSoft, CampusVue, Jenzabar, etc.);{{yes}} (Google Scholar, Scopus, Web of Science, RefWorks, etc.);{{yes}} (EndNote, Mendeley, Zotero, tools which generate BiBTeX, CSV or XML files);{{no}};
C-IKNOW;{{no}};{{yes}}(is possible);Unknown;{{no}};
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System);{{yes}};{{yes}} (has API, works with Elsevier PURE, Activity Insight, VIVO etc.);{{yes}} (funding opportunities from grants.gov);{{yes}} (National and International);
Community Academic Profiles - CAP;{{Yes}};{{Yes}};Yes;{{No}};
Converis;{{yes}} (Bisynchronous and one way operations with institution's enterprise system both possible.);{{yes}} (Yes, Web of Science, ORCID, pubmed, europubmed.);{{yes}} (Integrates with Pentaho Research Analytics module and InCites);{{no}};
CurvitaTM Profile Manager;{{yes}};{{yes}};Unknown;{{no}};
CUSP - Columbia University Scientific Profiles;{{no}};{{yes}} PubMed only;Unknown;{{no}};
Digital Vita;{{no}};{{yes}} (only PubMed);Unknown;{{yes}} National federated connectivity through DIRECT2Experts;
Elsevier's Pure;{{yes}} institutions have access to Web Services in order to feed data into internal databases; Web Services can be consumed as directed by institution. Pure currently ingests a range of data from institutions' own systems, including grants data, HR data, institutional repositories, publication databases, book listings and more.;{{yes}} Scopus, PubMed, NIH RePORTER, Embase, Mendeley, arXiv, Worldcat, CrossRef, JournalTOC, CAB Abstracts, SAO/NSA Astrophysics Data System, Web of Science, institution's internal databases, including HR data, grants, publications, patents, etc.;{{yes}} Pure integrates with SciVal to allow easy analysis of your researcher impact with the benchmark capabilities of SciVal.;{{yes}} The Pure Community Module interconnects participating institutions into a single centralized Pure instance. Additional functionality enables users to search across different institutions or run cross-campus reports [1];
Elsevier's SciVal;{{yes}} (Institutions have access to the API with Scopus data in order to feed data into internal databases.);{{yes}} (Integrates with Pure.);{{yes}} (Scopus & ScienceDirect);{{no}};
Epernicus Solutions & Epernicus Network;{{yes}} (Possible, for Epernicus Solutions);{{no}};Unknown;{{no}};
ERIM Member Profile System (ERIM MIS);{{yes}};{{yes}} ID resolver included, so links to external systems are created, like SSRN, ResearcherID, Google scholar alerts & Search, social mention search from personal page, MEEBO sharing possible, Tynt statistics included;Unknown;{{no}};
EUREKA!TM Enhancing Student Research;{{no}};{{no}};Unknown;{{no}};
Expertise @ Maryland;May be possible;{{no}};Unknown;{{no}};
Faculty Profile System;{{no}};{{no}};Unknown;{{no}};
Faculty Research Information Profile (FRIP);Discontinued. Work on this system ceased; moved on to developing Digital Vita;N/A;N/A;N/A;
